vernacularName,scientificName,scientificNameAuthorship,Family,Order,Division,nomenclaturalCode
Wood Duck,Aix sponsa,,,Anseriformes,,ICZN
Gadwall,Anas strepera,,,Anseriformes,,ICZN
Whip-poor-will,Caprimulgus vociferus,,,Caprimulgiformes,,ICZN
Rock Dove,Columba livia,,,Columbiformes,,ICZN
Belted Kingfisher,Ceryle alcyon,,,Coraciiformes,,ICZN
Limpkin,Aramus guarauna,,,Gruiformes,,ICZN
