name, URL,body mass (g),habitat
Rangifer_tarandus,http://eol.org/pages/328653/overview,"109,088.50",herbivore
Cervus_elaphus,http://eol.org/pages/328649/overview,"240,867.13",herbivore
Bos_taurus,http://eol.org/pages/328699/overview,"618,642.42",herbivore
Ovis_orientalis,http://eol.org/pages/311906/overview,"39,097.89",herbivore
Suricata_suricatta,http://eol.org/pages/311580/overview,729.99,carnivore
Cystophora_cristata,http://eol.org/pages/328632/overview,"278,896.81",omnivore
Mephitis_mephitis,http://eol.org/pages/328593/overview,"2,399.99",omnivore
