name, URL,mass (kg),trophic habit
Rangifer_tarandus,http://eol.org/pages/328653/overview,109.09,herbivore
Cervus_elaphus,http://eol.org/pages/328649/overview,240.87,herbivore
Bos_taurus,http://eol.org/pages/328699/overview,618.64,herbivore
Ovis_orientalis,http://eol.org/pages/311906/overview,39.1,herbivore
Suricata_suricatta,http://eol.org/pages/311580/overview,0.73,carnivore
Cystophora_cristata,http://eol.org/pages/328632/overview,278.9,omnivore
Mephitis_mephitis,http://eol.org/pages/328593/overview,2.4,omnivore
