Alectrurus risora
Alectrurus tricolor
Alectura lathami
Alethe
Alethe castanea
Alethe choloensis
Alethe diademata
Alethe fuelleborni
Alethe poliocephala
Alethe poliophrys
Alisterus amboinensis
Alisterus chloropterus
Alisterus scapularis
Alle alle
Alophoixus affinis
Alophoixus bres
Alophoixus finschii
Alophoixus flaveolus
Alophoixus ochraceus
Alophoixus pallidus
Alophoixus phaeocephalus
Alopochen aegyptiacus
Amadina erythrocephala
Amadina fasciata
Amalocichla incerta
Amalocichla sclateriana
Amandava amandava
Amandava formosa
Amandava subflava
Amaurocichla bocagii
Amaurolimnas concolor
Amaurornis akool
Amaurornis flavirostra
Amaurornis moluccanus
Amaurornis olivaceus
Amaurornis olivieri
Amaurornis phoenicurus
Amaurospiza concolor
Amaurospiza moesta
Amazilia
Amazilia amabilis
Amazilia amazilia
Amazilia beryllina
Amazilia boucardi
Amazilia candida
Amazilia castaneiventris
Amazilia chionogaster
Amazilia chionopectus
Amazilia cyanifrons
Amazilia cyanocephala
Amazilia cyanura
Amazilia decora
Amazilia edward
Amazilia fimbriata
Amazilia franciae
Amazilia lactea
Amazilia leucogaster
Amazilia luciae
Amazilia rosenbergi
Amazilia rutila
Amazilia saucerrottei
Amazilia tobaci
Amazilia tzacatl
Amazilia versicolor
Amazilia violiceps
Amazilia viridicauda
Amazilia viridifrons
Amazilia viridigaster
Amazilia yucatanensis
Amazona aestiva
Amazona agilis
Amazona albifrons
Amazona amazonica
Amazona arausiaca
Amazona auropalliata
Amazona autumnalis
Amazona barbadensis
Amazona brasiliensis
Amazona collaria
Amazona dufresniana
Amazona farinosa
Amazona festiva
Amazona finschi
Amazona guildingii
Amazona imperialis
Amazona kawalli
Amazona leucocephala
Amazona mercenaria
Amazona ochrocephala
Amazona oratrix
Amazona pretrei
Amazona rhodocorytha
Amazona tucumana
Amazona ventralis
Amazona versicolor
Amazona vinacea
Amazona viridigenalis
Amazona vittata
Amazona xantholora
Amazona xanthops
Amazonetta brasiliensis
Amblycercus holosericeus
Amblyornis flavifrons
Amblyornis inornatus
Amblyornis macgregoriae
Amblyornis subalaris
Amblyospiza albifrons
Amblyramphus holosericeus
Ammodramus aurifrons
Ammodramus bairdii
Ammodramus caudacutus
Ammodramus henslowii
Ammodramus humeralis
Ammodramus leconteii
Ammodramus maritimus
Ammodramus savannarum
Ammomanes cincturus
Ammomanes deserti
Ammomanes grayi
Ammomanes phoenicurus
Ammoperdix griseogularis
Ammoperdix heyi
Ampeliceps coronatus
Ampelioides tschudii
Ampelion rubrocristata
Ampelion rufaxilla
Amphilais seebohmi
Amphispiza belli
Amphispiza bilineata
Amytornis barbatus
Amytornis dorotheae
Amytornis goyderi
Amytornis housei
Amytornis purnelli
Amytornis striatus
Amytornis textilis
Amytornis woodwardi
Anabacerthia striaticollis
Anabacerthia variegaticeps
Anabazenops fuscus
Anairetes alpinus
Anairetes fernandezianus
Anairetes flavirostris
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Anaplectes rubriceps
Anarhynchus frontalis
Anas acuta
Anas americana
Anas aucklandica
Anas bahamensis
Anas bernieri
Anas capensis
Anas castanea
Anas clypeata
Anas crecca
Anas cyanoptera
Anas discors
Anas eatoni
Anas erythrorhyncha
Anas falcata
Anas flavirostris
Anas formosa
Anas fulvigula
Anas georgica
Anas gibberifrons
Anas gracilis
Anas hottentota
Anas laysanensis
Anas luzonica
Anas melleri
Anas penelope
Anas platalea
Anas platyrhynchos
Anas poecilorhyncha
Anas puna
Anas querquedula
Anas rhynchotis
Anas rubripes
Anas sibilatrix
Anas smithii
Anas sparsa
Anas specularioides
Anas specularis
Anas strepera
Anas superciliosa
Anas undulata
Anas versicolor
Anas wyvilliana
Anastomus lamelligerus
Anastomus oscitans
Ancistrops strigilatus
Andigena cucullata
Andigena hypoglauca
Andigena laminirostris
Andigena nigrirostris
Androdon aequatorialis
Andropadus ansorgei
Andropadus chlorigula
Andropadus curvirostris
Andropadus gracilirostris
Andropadus gracilis
Andropadus hallae
Andropadus importunus
Andropadus kakamegae
Andropadus latirostris
Andropadus masukuensis
Andropadus milanjensis
Andropadus montanus
Andropadus nigriceps
Andropadus olivaceiceps
Andropadus tephrolaemus
Andropadus virens
Androphobus viridis
Anhima cornuta
Anhinga
Anhinga anhinga
Anhinga melanogaster
Anhinga novaehollandiae
Anhinga rufa
Anisognathus igniventris
Anisognathus lacrymosus
Anisognathus melanogenys
Anisognathus notabilis
Anisognathus somptuosus
Anodorhynchus glaucus
Anodorhynchus hyacinthinus
Anodorhynchus leari
Anomalospiza imberbis
Anorrhinus galeritus
Anorrhinus tickelli
Anous minutus
Anous stolidus
Anous tenuirostris
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser canagica
Anser cygnoides
Anser erythropus
Anser fabalis
Anser indicus
Anser rossii
Anseranas semipalmata
Anthocephala floriceps
Anthochaera carunculata
Anthochaera chrysoptera
Anthochaera lunulata
Anthochaera paradoxa
Anthornis melanura
Anthoscopus caroli
Anthoscopus flavifrons
Anthoscopus minutus
Anthoscopus musculus
Anthoscopus parvulus
Anthoscopus punctifrons
Anthoscopus sylviella
Anthracoceros albirostris
Anthracoceros coronatus
Anthracoceros malayanus
Anthracoceros marchei
Anthracoceros montani
Anthracothorax dominicus
Anthracothorax mango
Anthracothorax nigricollis
Anthracothorax prevostii
Anthracothorax viridigula
Anthracothorax viridis
Anthreptes anchietae
Anthreptes aurantium
Anthreptes axillaris
Anthreptes collaris
Anthreptes fraseri
Anthreptes gabonicus
Anthreptes longuemarei
Anthreptes malacensis
Anthreptes metallicus
Anthreptes neglectus
Anthreptes orientalis
Anthreptes pallidigaster
Anthreptes platurus
Anthreptes rectirostris
Anthreptes reichenowi
Anthreptes rhodolaema
Anthreptes rubritorques
Anthreptes simplex
Anthreptes singalensis
Anthus antarcticus
Anthus bannermani
Anthus berthelotii
Anthus bogotensis
Anthus brachyurus
Anthus caffer
Anthus camaroonensis
Anthus campestris
Anthus cervinus
Anthus chacoensis
Anthus chloris
Anthus cinnamomeus
Anthus correndera
Anthus crenatus
Anthus furcatus
Anthus godlewskii
Anthus gustavi
Anthus gutturalis
Anthus hellmayri
Anthus hodgsoni
Anthus hoeschi
Anthus latistriatus
Anthus leucophrys
Anthus lineiventris
Anthus lutescens
Anthus melindae
Anthus nattereri
Anthus nilghiriensis
Anthus novaeseelandiae
Anthus nyassae
Anthus pallidiventris
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus roseatus
Anthus rubescens
Anthus rufulus
Anthus sharpei
Anthus similis
Anthus sokokensis
Anthus spinoletta
Anthus spragueii
Anthus sylvanus
Anthus trivialis
Anthus vaalensis
Antilophia galeata
Anumbius annumbi
Anurolimnas castaneiceps
Anurolimnas fasciatus
Anurolimnas viridis
Anurophasis monorthonyx
Apalis
Apalis alticola
Apalis argentea
Apalis bamendae
Apalis binotata
Apalis chapini
Apalis chariessa
Apalis chirindensis
Apalis cinerea
Apalis flavida
Apalis goslingi
Apalis jacksoni
Apalis kaboboensis
Apalis karamojae
Apalis melanocephala
Apalis nigriceps
Apalis personata
Apalis porphyrolaema
Apalis pulchra
Apalis ruddi
Apalis rufifrons
Apalis rufogularis
Apalis ruwenzorii
Apalis sharpii
Apalis thoracica
Apalis viridiceps
Apaloderma aequatoriale
Apaloderma narina
Apaloderma vittatum
Apalopteron familiare
Aphanotriccus audax
Aphanotriccus capitalis
Aphantochroa cirrochloris
Aphelocephala leucopsis
Aphelocephala nigricincta
Aphelocephala pectoralis
Aphelocoma californica
Aphelocoma coerulescens
Aphelocoma insularis
Aphelocoma ultramarina
Aphelocoma unicolor
Aphrastura masafuerae
Aphrastura spinicauda
Aphriza virgata
Aplonis atrifusca
Aplonis brunneicapilla
Aplonis cantoroides
Aplonis cinerascens
Aplonis corvina
Aplonis crassa
Aplonis dichroa
Aplonis feadensis
Aplonis fusca
Aplonis grandis
Aplonis insularis
Aplonis magna
Aplonis mavornata
Aplonis metallica
Aplonis minor
Aplonis mysolensis
Aplonis mystacea
Aplonis opaca
Aplonis panayensis
Aplonis pelzelni
Aplonis santovestris
Aplonis striata
Aplonis tabuensis
Aplonis zelandica
Aprosmictus erythropterus
Aprosmictus jonquillaceus
Aptenodytes forsteri
Aptenodytes patagonicus
Apteryx australis
Apteryx haastii
Apteryx owenii
Apus acuticauda
Apus affinis
Apus alexandri
Apus apus
Apus balstoni
Apus barbatus
Apus batesi
Apus berliozi
Apus bradfieldi
Apus caffer
Apus horus
Apus niansae
Apus nipalensis
Apus pacificus
Apus pallidus
Apus unicolor
Aquila adalberti
Aquila audax
Aquila chrysaetos
Aquila clanga
Aquila gurneyi
Aquila heliaca
Aquila nipalensis
Aquila pomarina
Aquila rapax
Aquila verreauxii
Aquila wahlbergi
Ara ambigua
Ara ararauna
Ara auricollis
Ara chloropterus
Ara couloni
Ara glaucogularis
Ara macao
Ara maracana
Ara militaris
Ara nobilis
Ara rubrogenys
Ara severa
Ara tricolor
Arachnothera affinis
Arachnothera chrysogenys
Arachnothera clarae
Arachnothera crassirostris
Arachnothera everetti
Arachnothera flavigaster
Arachnothera juliae
Arachnothera longirostra
Arachnothera magna
Arachnothera robusta
Aramides axillaris
Aramides cajanea
Aramides calopterus
Aramides mangle
Aramides saracura
Aramides wolfi
Aramides ypecaha
Aramidopsis plateni
Aramus guarauna
Aratinga acuticaudata
Aratinga aurea
Aratinga auricapilla
Aratinga cactorum
Aratinga canicularis
Aratinga chloroptera
Aratinga erythrogenys
Aratinga euops
Aratinga finschi
Aratinga guarouba
Aratinga holochlora
Aratinga jandaya
Aratinga leucophthalmus
Aratinga mitrata
Aratinga nana
Aratinga pertinax
Aratinga solstitialis
Aratinga strenua
Aratinga wagleri
Aratinga weddellii
Araucaria
Arborophila ardens
Arborophila atrogularis
Arborophila brunneopectus
Arborophila cambodiana
Arborophila charltonii
Arborophila chloropus
Arborophila crudigularis
Arborophila davidi
Arborophila gingica
Arborophila hyperythra
Arborophila javanica
Arborophila mandellii
Arborophila merlini
Arborophila orientalis
Arborophila rubrirostris
Arborophila rufipectus
Arborophila rufogularis
Arborophila torqueola
Arcanator orostruthus
Archboldia papuensis
Archilochus alexandri
Archilochus colubris
Ardea cinerea
Ardea cocoi
Ardea goliath
Ardea herodias
Ardea humbloti
Ardea insignis
Ardea melanocephala
Ardea pacifica
Ardea purpurea
Ardea sumatrana
Ardeola
Ardeola bacchus
Ardeola grayii
Ardeola ralloides
Ardeola rufiventris
Ardeola speciosa
Ardeotis arabs
Ardeotis australis
Ardeotis kori
Ardeotis nigriceps
